experiment,ATE,ATE_adjusted,ATE_unadjusted,batch_size,desc,epochs,model_name,seed,treatment_column
exp39,-0.18106212365716737,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,6000,T_proxy
exp4,-0.1635385274270862,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,42,T_proxy
exp40,-0.03430477346803124,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,6000,T_proxy
exp41,-0.2558834774345852,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,42,T_proxy
exp42,-0.3873220777479356,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,42,T_proxy
exp43,0.10887443251488894,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,42,T_proxy
exp44,0.1963837864590146,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,42,T_proxy
exp45,-0.34780852750385605,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,123,T_proxy
exp46,-0.40895855540466447,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,123,T_proxy
exp47,-0.29931394863256683,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,123,T_proxy
exp48,-0.5294647784517844,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,123,T_proxy
exp49,-0.1051254905690226,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,456,T_proxy
exp5,-0.20058165456355692,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,123,T_proxy
exp50,-0.11479604589320554,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,456,T_proxy
exp51,-0.29510894423122014,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,456,T_proxy
exp52,-0.39299166441362804,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,456,T_proxy
exp53,0.1940311462431404,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,789,T_proxy
exp54,0.1684666888414691,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,789,T_proxy
exp55,0.05985052724767801,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,789,T_proxy
exp56,0.03746533672149259,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,789,T_proxy
exp57,-0.30165888582017636,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1000,T_proxy
exp58,-0.3529462057499351,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1000,T_proxy
exp59,-0.47422903872014993,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1000,T_proxy
exp6,-0.24888411214240783,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,123,T_proxy
exp60,-0.3646204715073306,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1000,T_proxy
exp61,-0.09839090342643919,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2000,T_proxy
exp62,-0.16376541888250132,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2000,T_proxy
exp63,-0.26193715559387354,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2000,T_proxy
exp64,-0.3223423006879742,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2000,T_proxy
exp65,-0.26039817834559065,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3000,T_proxy
exp66,-0.3570633557338588,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3000,T_proxy
