experiment,ATE,batch_size,desc,epochs,model_name,seed,treatment_column
exp32,-0.1393524902708033,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3233,T_proxy
exp33,-0.03967341246916787,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3435,T_proxy
exp34,-0.06160414923580565,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3435,T_proxy
exp35,-0.1387473898989125,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3637,T_proxy
exp36,-0.13366521011655444,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3637,T_proxy
exp37,-0.1092716764109156,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3839,T_proxy
exp38,-0.11173911045814736,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3839,T_proxy
exp39,-0.01588125897612432,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,4041,T_proxy
exp4,-0.09802829408479252,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,123,T_proxy
exp40,-0.03852133025258124,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,4041,T_proxy
exp41,-0.16401663082952112,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,42,T_proxy
exp42,-0.14229579794000388,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,42,T_proxy
exp43,-0.17363381740761513,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,123,T_proxy
exp44,-0.1314628460901789,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,123,T_proxy
exp45,-0.08361554231327979,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,456,T_proxy
exp46,-0.11686421323529156,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,456,T_proxy
exp47,-0.18254049853470314,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,789,T_proxy
exp48,-0.17367417920320127,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,789,T_proxy
exp49,0.03432903566365116,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1011,T_proxy
exp5,-0.08614141576010324,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,456,T_proxy
exp50,0.03768806974022292,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1011,T_proxy
exp51,-0.24537731186884676,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1213,T_proxy
exp52,-0.2529236328242194,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1213,T_proxy
exp53,-0.1618420209737524,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1415,T_proxy
exp54,-0.18477485002710267,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1415,T_proxy
exp55,-0.024526076418540668,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1617,T_proxy
exp56,-0.045197860607004585,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1617,T_proxy
exp57,-0.1898841219489809,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1819,T_proxy
exp58,-0.20956163972980502,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,1819,T_proxy
exp59,0.025733292701410407,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2021,T_proxy
exp6,-0.06709953963137198,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,456,T_proxy
exp60,0.021980976064327088,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2021,T_proxy
exp61,-0.14456303791086333,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2223,T_proxy
exp62,-0.14812115703619005,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2223,T_proxy
exp63,-0.04979410351302282,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2425,T_proxy
exp64,-0.035173186392116786,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2425,T_proxy
exp65,-0.14243406075518034,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2627,T_proxy
exp66,-0.1543972631047499,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2627,T_proxy
exp67,-0.1776391939613442,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2829,T_proxy
exp68,-0.20284583911753687,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,2829,T_proxy
exp69,-0.20168587390630371,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3031,T_proxy
exp7,-0.08668092520757234,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,789,T_proxy
exp70,-0.21040709998084645,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3031,T_proxy
exp71,-0.24536069147261086,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3233,T_proxy
exp72,-0.264665626234382,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3233,T_proxy
exp73,-0.12836491260946017,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3435,T_proxy
exp74,-0.2045065035899211,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3435,T_proxy
exp75,-0.20785464857586503,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3637,T_proxy
exp76,-0.2384382539838887,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3637,T_proxy
exp77,0.02475992843345533,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3839,T_proxy
exp78,0.019606550442798555,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,3839,T_proxy
exp79,-0.20320999034524453,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,4041,T_proxy
exp8,-0.09025549824549206,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,789,T_proxy
exp80,-0.1991073466135427,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/efficientvit_m2.r224_in1k,4041,T_proxy
exp81,-0.1247462717073908,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,42,T_proxy
exp82,-0.10628002740825301,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,42,T_proxy
exp83,-0.061173630099570546,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,123,T_proxy
exp84,-0.08662053538879536,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,123,T_proxy
exp85,-0.18891464707235933,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,456,T_proxy
exp86,-0.2042898423696497,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,456,T_proxy
exp87,-0.1472432516794576,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,789,T_proxy
exp88,-0.11742809646517743,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,789,T_proxy
